scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg019,1,-,1360669,ptg000017l,0,11.947,1.066
Ctg004,1,-,8592421,ptg000030l,13.013,37.456,0
Ctg021,1,,489597,ptg000054l,37.456,37.456,0
Ctg008,1,+,4773269,ptg000006l,37.456,56.275,
Ctg002,2,+,10665761,ptg000037l,0,26.95,0
Ctg012,2,+,3322896,ptg000009l,26.95,53.387,
Ctg003,3,-,8873824,ptg000022l,0,32.383,0
Ctg016,3,+,2096835,ptg000012l,32.383,88.336,-31.853
Ctg013,3,+,2655823,ptg000018l,56.483,73.249,
Ctg001,4,-,18895086,ptg000028l,0,35.988,0.526000000000003
Ctg017,4,+,1603494,ptg000068l,36.514,39.146,0
Ctg015,4,-,2263744,ptg000041l,39.146,41.292,0
Ctg020,4,,496583,ptg000107l,41.292,41.292,0
Ctg018,4,+,1539158,ptg000035l,41.292,42.088,
Ctg031,5,,141534,ptg000087l,0,0,0
Ctg006,5,-,6933954,ptg000038l,0,16.135,0
Ctg007,5,-,5647030,ptg000024l,16.135,54.018,
Ctg011,6,+,3577260,ptg000043l,0,21.605,0
Ctg005,6,+,7619196,ptg000003l,21.605,31.64,0
Ctg014,6,-,2550403,ptg000062l,31.64,50.503,
