scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg019,1,-,1360669,ptg000017l,0,11.818,1.055
Ctg004,1,-,8592421,ptg000030l,12.873,38.076,0
Ctg021,1,,489597,ptg000054l,38.076,38.076,0
Ctg008,1,+,4773269,ptg000006l,38.076,59.219,
Ctg002,2,+,10665761,ptg000037l,0,29.23,0
Ctg012,2,+,3322896,ptg000009l,29.23,56.411,
Ctg003,3,-,8873824,ptg000022l,0,35.721,0
Ctg016,3,+,2096835,ptg000012l,35.721,90.962,-31.503
Ctg013,3,+,2655823,ptg000018l,59.459,76.048,
Ctg001,4,-,18895086,ptg000028l,0,35.607,0.521000000000001
Ctg017,4,+,1603494,ptg000068l,36.128,38.732,0
Ctg015,4,-,2263744,ptg000041l,38.732,40.855,0
Ctg020,4,,496583,ptg000107l,40.855,40.855,0
Ctg018,4,+,1539158,ptg000035l,40.855,41.64,
Ctg007,5,+,5647030,ptg000024l,0,37.48,0
Ctg006,5,+,6933954,ptg000038l,37.48,53.443,0
Ctg031,5,,141534,ptg000087l,53.443,53.443,
Ctg011,6,+,3577260,ptg000043l,0,21.885,0
Ctg005,6,+,7619196,ptg000003l,21.885,31.815,0
Ctg014,6,-,2550403,ptg000062l,31.815,51.395,
