ori,uno,ori_in,uno_in,uno_len,ori_len,lg,genetic
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,6.533
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.815
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.448
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.081
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.714
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.347
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.98
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.609
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.899
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.528
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.161
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.794
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.427
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.06
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.693
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.326
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.959
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,18.592
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.225
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.858
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.491
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.124
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.757
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.39
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.023
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.656
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.289
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.922
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.555
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.188
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.821
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.454
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.087
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.717
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.953
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.583
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.165
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.798
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.431
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.064
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.697
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,34.33
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,34.963
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,35.596
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.229
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.862
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.495
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.128
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.761
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,39.394
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,40.027
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,40.66
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,41.293
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,41.926
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,42.559
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,43.192
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,43.825
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,44.458
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,45.091
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,45.72
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,47.009
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,47.388
