b	switch	start	end	contig
1	NA	1194	67242	Ctg001
51	0	68341	146314	Ctg001
101	0	148846	204967	Ctg001
151	0	204995	265905	Ctg001
201	0	266103	330659	Ctg001
251	0	331144	506358	Ctg001
301	0	506560	537406	Ctg001
351	1	537431	545080	Ctg001
401	0	545185	588052	Ctg001
451	1	588064	618517	Ctg001
501	0	618671	664129	Ctg001
551	0	664159	689829	Ctg001
601	0	689999	696082	Ctg001
651	0	696213	702631	Ctg001
701	0	702656	708900	Ctg001
751	0	708950	716483	Ctg001
801	0	716712	721926	Ctg001
851	0	722112	730572	Ctg001
901	0	730604	734957	Ctg001
951	0	734975	742282	Ctg001
1001	0	742296	748975	Ctg001
1051	0	749075	755687	Ctg001
1101	0	755863	771866	Ctg001
1151	0	771929	780878	Ctg001
1201	0	780978	786698	Ctg001
1251	0	786969	797165	Ctg001
1301	0	797545	804119	Ctg001
1351	0	804176	810697	Ctg001
1401	0	810909	816895	Ctg001
1451	0	816970	826950	Ctg001
1501	0	826992	848512	Ctg001
1551	0	848533	858078	Ctg001
1601	0	858108	872456	Ctg001
1651	0	872498	877759	Ctg001
1701	0	877775	882650	Ctg001
1751	0	882665	885842	Ctg001
1801	0	885869	901090	Ctg001
1851	0	901447	909003	Ctg001
1901	0	909252	918998	Ctg001
1951	0	919070	930938	Ctg001
2001	0	930959	938216	Ctg001
2051	0	938413	943413	Ctg001
2101	0	943934	947482	Ctg001
2151	0	947616	957597	Ctg001
2201	0	958209	967813	Ctg001
2251	0	968246	975487	Ctg001
2301	0	975668	983293	Ctg001
2351	0	983366	990971	Ctg001
2401	0	991041	999804	Ctg001
2451	0	999823	1006917	Ctg001
2501	0	1006942	1018600	Ctg001
2551	0	1018619	1023918	Ctg001
2601	0	1023973	1042473	Ctg001
2651	0	1042830	1047192	Ctg001
2701	0	1047560	1055531	Ctg001
2751	0	1055564	1063523	Ctg001
2801	0	1063732	1070414	Ctg001
2851	0	1070438	1076331	Ctg001
2901	0	1076423	1086870	Ctg001
2951	0	1087090	1103436	Ctg001
3001	0	1103472	1110281	Ctg001
3051	0	1110294	1115398	Ctg001
3101	0	1115630	1125148	Ctg001
3151	0	1125633	1136192	Ctg001
3201	0	1136205	1142689	Ctg001
3251	0	1143145	1150623	Ctg001
3301	0	1150655	1158035	Ctg001
3351	0	1158162	1169146	Ctg001
3401	0	1169197	1177630	Ctg001
3451	0	1177841	1190877	Ctg001
3501	0	1191000	1201496	Ctg001
3551	0	1201625	1261956	Ctg001
3601	0	1264790	1286861	Ctg001
3651	0	1286934	1311506	Ctg001
3701	0	1311982	1360006	Ctg001
3751	0	1360994	1406825	Ctg001
