ori,uno,ori_in,uno_in,uno_len,ori_len,lg,genetic
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0.284
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,1.377
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,1.911
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.449
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.987
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,3.524
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.062
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.6
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,5.138
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,5.675
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,6.21
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.303
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.838
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.375
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.913
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.451
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.989
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.526
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.064
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.602
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.139
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.677
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.215
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.752
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.29
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.828
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.365
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.903
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.441
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.979
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.455
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.99
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.02
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.555
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.093
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.631
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.169
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.706
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.244
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.782
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.319
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.857
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.395
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.932
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.47
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.008
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.546
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.083
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.621
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.159
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.696
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.234
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.772
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.309
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.847
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.385
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.923
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.46
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.998
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.533
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,34.623
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,35.713
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.248
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.786
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.323
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.861
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.399
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.936
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,39.474
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,40.006
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,41.667
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,42.192
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,50.024
