ori,uno,ori_in,uno_in,uno_len,ori_len,lg,genetic
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,0.278
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,1.359
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,1.888
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.42
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,2.952
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,3.484
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.016
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,4.548
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,5.08
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,5.612
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,6.141
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.222
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,7.752
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.284
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,8.816
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.348
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,9.88
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.411
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,10.943
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,11.475
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.007
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,12.539
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.071
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,13.603
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.135
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,14.667
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.199
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,15.731
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.263
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,16.796
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.265
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,17.795
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,18.812
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.342
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,19.874
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.406
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,20.938
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,21.47
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.002
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,22.534
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.066
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,23.598
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.13
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,24.662
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.194
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,25.726
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.258
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,26.79
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.321
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,27.853
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.385
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,28.917
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.449
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,29.981
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,30.513
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.045
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,31.577
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.109
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,32.641
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,33.17
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,34.249
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,35.327
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,35.856
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.388
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,36.92
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.452
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,37.984
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,38.516
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,39.048
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,39.574
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,41.217
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,41.736
Ctg001,Ctg001,LG4,LG4,24293083,24293083,2,49.451
