scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg037,1,,14261,contig_67,0,0,2.381
Ctg027,1,-,311306,contig_185,2.381,2.381,0
Ctg034,1,,50037,contig_66,2.381,2.381,0
Ctg002,1,+,13584573,contig_68,2.381,54.403,
Ctg036,2,,19320,contig_194,0,0,1.015
Ctg014,2,-,2756293,scaffold_8,1.015,43.766,-40.876
Ctg017,2,-,2254436,contig_71,2.89,18.187,25.579
Ctg007,2,-,6057687,contig_73,43.766,47.389,0
Ctg016,2,+,2643193,contig_70,47.389,69.339,0
Ctg020,2,+,1353321,contig_192,69.339,80.06,
Ctg003,3,+,12549184,contig_166,0,51.975,0
Ctg032,3,,138995,contig_190,51.975,51.975,
Ctg023,4,-,938431,contig_36,0,6.33,0.625
Ctg004,4,-,7882276,scaffold_77,6.955,30.925,0
Ctg018,4,+,2069089,contig_72,30.925,37.817,0.625
Ctg015,4,+,2660559,contig_2,38.442,56.397,
Ctg024,5,+,568090,contig_35,0,5.546,-1.89
Ctg019,5,+,1523805,contig_3,3.656,4.277,0
Ctg030,5,,149486,contig_97,4.277,4.277,0
Ctg022,5,-,1162810,contig_37,4.277,5.546,0
Ctg025,5,,533261,contig_236,5.546,5.546,0
Ctg031,5,,141792,contig_118,5.546,5.546,0
Ctg026,5,+,469119,contig_214,5.546,6.171,0
Ctg029,5,,208124,contig_128,6.171,6.796,0
Ctg028,5,+,309269,contig_120,6.796,7.421,0
Ctg011,5,-,3672090,contig_38,7.421,18.695,0
Ctg005,5,-,7878348,contig_210,18.695,25.571,0
Ctg033,5,,77467,contig_69,25.571,25.571,0.625
Ctg010,5,-,3926323,contig_84,26.196,39.233,0
Ctg012,5,+,3653874,contig_9,39.233,46.502,-4.767
Ctg035,5,,22677,contig_110,41.735,41.735,
Ctg009,6,+,4040895,contig_211,0,24.323,0
Ctg006,6,+,6103439,contig_193,24.323,26.823,0
Ctg013,6,-,3569119,contig_213,26.823,43.098,
