scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg037,1,,14261,contig_67,0,0,2.559
Ctg027,1,-,311306,contig_185,2.559,2.559,0
Ctg034,1,,50037,contig_66,2.559,2.559,0
Ctg002,1,+,13584573,contig_68,2.559,55.277,
Ctg036,2,,19320,contig_194,0,0,30.669
Ctg017,2,+,2254436,contig_71,30.669,45.864,0
Ctg014,2,+,2756293,scaffold_8,45.864,49.056,0
Ctg007,2,-,6057687,contig_73,49.056,52.78,0
Ctg016,2,+,2643193,contig_70,52.78,72.672,0.528999999999996
Ctg020,2,+,1353321,contig_192,73.201,83.923,
Ctg032,3,,138995,contig_190,0,0,0
Ctg003,3,-,12549184,contig_166,0,53.084,
Ctg015,4,-,2660559,contig_2,0,16.844,0.526
Ctg018,4,-,2069089,contig_72,17.37,24.844,0
Ctg004,4,+,7882276,scaffold_77,24.844,50.552,0.530000000000001
Ctg023,4,+,938431,contig_36,51.082,57.004,
Ctg019,5,,1523805,contig_3,0,0.807,0
Ctg030,5,,149486,contig_97,0.807,0.807,0
Ctg022,5,-,1162810,contig_37,0.807,2.444,0
Ctg024,5,+,568090,contig_35,2.444,2.977,0
Ctg025,5,,533261,contig_236,2.977,2.977,0
Ctg031,5,,141792,contig_118,2.977,2.977,0
Ctg026,5,+,469119,contig_214,2.977,4.041,0
Ctg029,5,,208124,contig_128,4.041,4.573,0
Ctg028,5,+,309269,contig_120,4.573,5.105,0
Ctg011,5,-,3672090,contig_38,5.105,15.24,0
Ctg005,5,-,7878348,contig_210,15.24,22.167,0
Ctg033,5,,77467,contig_69,22.167,22.167,0.532
Ctg010,5,-,3926323,contig_84,22.699,34.288,0
Ctg012,5,+,3653874,contig_9,34.288,41.763,11.759
Ctg035,5,,22677,contig_110,53.522,53.522,
Ctg013,6,+,3569119,contig_213,0,18.293,0
Ctg006,6,-,6103439,contig_193,18.293,20.953,0
Ctg009,6,-,4040895,contig_211,20.953,46.525,
