scaf,lg,strand,len,fa,genetic_start,genetic_end,gap_cM
Ctg037,1,,14261,contig_67,0,0,2.726
Ctg027,1,-,311306,contig_185,2.726,2.726,0
Ctg034,1,,50037,contig_66,2.726,2.726,0
Ctg002,1,+,13584573,contig_68,2.726,52.235,
Ctg036,2,,19320,contig_194,0,0,3.339
Ctg007,2,-,6057687,contig_73,3.339,6.695,-3.356
Ctg014,2,-,2756293,scaffold_8,3.339,90.296,-83.601
Ctg016,2,+,2643193,contig_70,6.695,26.987,0.559000000000001
Ctg020,2,+,1353321,contig_192,27.546,37.738,52.558
Ctg017,2,-,2254436,contig_71,90.296,105.373,
Ctg032,3,,138995,contig_190,0,0,0
Ctg003,3,-,12549184,contig_166,0,53.298,
Ctg023,4,-,938431,contig_36,0,6.26,0.559
Ctg004,4,-,7882276,scaffold_77,6.819,31.198,0
Ctg018,4,+,2069089,contig_72,31.198,39.093,0.558999999999998
Ctg015,4,+,2660559,contig_2,39.652,56.893,
Ctg019,5,+,1523805,contig_3,0,0.555,0
Ctg030,5,,149486,contig_97,0.555,0.555,0
Ctg022,5,-,1162810,contig_37,0.555,2.286,0
Ctg024,5,+,568090,contig_35,2.286,2.848,0
Ctg025,5,,533261,contig_236,2.848,2.848,0
Ctg031,5,,141792,contig_118,2.848,2.848,0
Ctg026,5,+,469119,contig_214,2.848,3.972,0
Ctg029,5,,208124,contig_128,3.972,4.534,0
Ctg028,5,+,309269,contig_120,4.534,5.096,0
Ctg011,5,-,3672090,contig_38,5.096,15.802,0
Ctg005,5,-,7878348,contig_210,15.802,22.544,0
Ctg033,5,,77467,contig_69,22.544,22.544,0.562000000000001
Ctg010,5,-,3926323,contig_84,23.106,34.799,0
Ctg012,5,+,3653874,contig_9,34.799,42.696,10.868
Ctg035,5,,22677,contig_110,53.564,53.564,
Ctg013,6,+,3569119,contig_213,0,16.305,0
Ctg006,6,-,6103439,contig_193,16.305,19.114,0
Ctg009,6,-,4040895,contig_211,19.114,43.874,
